dataset,seed,b,contraction,num_sets,universe,elements,baseline_bits,ceb_bits,baseline_bpe,ceb_bpe,H_bpe,L_bpe,saving_pct,baseline_total_bpe,ceb_total_bpe,total_saving_pct,ceb_build_ms,base_build_ms,max_depth,mean_depth,ceb_retrieve_us,ceb_rank_us,base_retrieve_us,base_rank_us,all_ok,num_ret,num_rank
nested,555,64,0,64,480,9462,22754,7323,2.4048,0.7739,2.0421,0.2598,67.8166,12.6544,11.0257,12.8708,4.1690,1.1290,63,31.5000,8.1020,20.2790,0.6455,1.4190,1,2000,2000
nested,555,64,1,64,480,9462,22754,13615,2.4048,1.4389,2.0421,1.0576,40.1644,12.6544,11.6973,7.5633,4.2190,1.0920,6,2.8125,0.7710,2.8670,0.6120,1.4055,1,2000,2000
independent,1,4,0,64,512,13336,40966,41738,3.0718,3.1297,2.3525,2.3525,-1.8845,15.9153,16.4627,-3.4394,9.0990,1.2370,0,0.0000,0.2975,0.4460,0.5970,0.7440,1,2000,2000
independent,1,4,1,64,512,13336,40966,41738,3.0718,3.1297,2.3525,2.3525,-1.8845,15.9153,16.4627,-3.4394,9.0470,1.2390,0,0.0000,0.3025,0.4490,0.5930,0.7350,1,2000,2000
independent,1,8,0,64,512,13336,39054,39572,2.9285,2.9673,2.3525,2.3525,-1.3264,14.3874,14.8821,-3.4388,9.2050,1.4120,0,0.0000,0.3045,0.5115,0.6020,0.8125,1,2000,2000
independent,1,8,1,64,512,13336,39054,39572,2.9285,2.9673,2.3525,2.3525,-1.3264,14.3874,14.8821,-3.4388,9.1840,1.4750,0,0.0000,0.3030,0.5115,0.5910,0.7905,1,2000,2000
independent,1,16,0,64,512,13336,36599,36927,2.7444,2.7690,2.3525,2.3525,-0.8962,13.4738,13.9387,-3.4504,9.1520,1.6260,0,0.0000,0.3165,0.6100,0.6115,0.8885,1,2000,2000
independent,1,16,1,64,512,13336,36599,36927,2.7444,2.7690,2.3525,2.3525,-0.8962,13.4738,13.9387,-3.4504,9.4490,1.6560,0,0.0000,0.3215,0.6045,0.6950,0.9590,1,2000,2000
independent,1,32,0,64,512,13336,34690,34892,2.6012,2.6164,2.3525,2.3525,-0.5823,12.9660,13.4124,-3.4433,10.4460,1.6790,0,0.0000,0.3405,0.8665,0.6355,1.2515,1,2000,2000
independent,1,32,1,64,512,13336,34690,34892,2.6012,2.6164,2.3525,2.3525,-0.5823,12.9660,13.4124,-3.4433,10.1260,1.5940,0,0.0000,0.3245,0.8700,0.6500,1.1495,1,2000,2000
independent,1,64,0,64,512,13336,33518,33642,2.5133,2.5226,2.3525,2.3525,-0.3700,12.6957,13.1318,-3.4351,9.9560,1.6960,0,0.0000,0.3505,1.2625,0.6475,1.5690,1,2000,2000
independent,1,64,1,64,512,13336,33518,33642,2.5133,2.5226,2.3525,2.3525,-0.3700,12.6957,13.1318,-3.4351,10.3340,1.7410,0,0.0000,0.3155,1.2735,0.6465,1.6615,1,2000,2000
independent,7,4,0,64,512,13663,41246,42018,3.0188,3.0753,2.3123,2.3123,-1.8717,15.8153,16.3496,-3.3783,9.6440,1.2820,0,0.0000,0.3110,0.5415,0.6705,0.8250,1,2000,2000
independent,7,4,1,64,512,13663,41246,42018,3.0188,3.0753,2.3123,2.3123,-1.8717,15.8153,16.3496,-3.3783,9.0830,1.2400,0,0.0000,0.3085,0.4725,0.8035,0.7895,1,2000,2000
independent,7,8,0,64,512,13663,39271,39789,2.8743,2.9122,2.3123,2.3123,-1.3190,14.2983,14.7812,-3.3774,9.6860,1.4170,0,0.0000,0.3300,0.6825,0.6785,0.8390,1,2000,2000
independent,7,8,1,64,512,13663,39271,39789,2.8743,2.9122,2.3123,2.3123,-1.3190,14.2983,14.7812,-3.3774,9.8540,1.4130,0,0.0000,0.3250,0.5575,0.6770,0.8460,1,2000,2000
independent,7,16,0,64,512,13663,36761,37089,2.6906,2.7146,2.3123,2.3123,-0.8922,13.4025,13.8563,-3.3858,10.0650,1.6210,0,0.0000,0.3460,0.6405,0.7040,0.9695,1,2000,2000
independent,7,16,1,64,512,13663,36761,37089,2.6906,2.7146,2.3123,2.3123,-0.8922,13.4025,13.8563,-3.3858,9.9860,1.7940,0,0.0000,0.3555,0.6350,0.6565,0.9420,1,2000,2000
independent,7,32,0,64,512,13663,34893,35095,2.5538,2.5686,2.3123,2.3123,-0.5789,12.9098,13.3456,-3.3755,10.1220,1.7110,0,0.0000,0.3240,0.8705,0.6370,1.1595,1,2000,2000
independent,7,32,1,64,512,13663,34893,35095,2.5538,2.5686,2.3123,2.3123,-0.5789,12.9098,13.3456,-3.3755,10.0790,1.7100,0,0.0000,0.3245,0.8590,0.6120,1.1135,1,2000,2000
independent,7,64,0,64,512,13663,33739,33863,2.4694,2.4784,2.3123,2.3123,-0.3675,12.6474,13.0730,-3.3657,9.7940,1.7060,0,0.0000,0.3020,1.2760,0.6300,1.5740,1,2000,2000
independent,7,64,1,64,512,13663,33739,33863,2.4694,2.4784,2.3123,2.3123,-0.3675,12.6474,13.0730,-3.3657,9.8900,1.7270,0,0.0000,0.3050,1.2595,0.6040,1.6335,1,2000,2000
independent,42,4,0,64,512,13555,41229,42001,3.0416,3.0986,2.3250,2.3250,-1.8725,15.8651,16.4036,-3.3945,8.9670,1.2410,0,0.0000,0.3005,0.4475,0.6000,0.7835,1,2000,2000
independent,42,4,1,64,512,13555,41229,42001,3.0416,3.0986,2.3250,2.3250,-1.8725,15.8651,16.4036,-3.3945,9.3100,1.2360,0,0.0000,0.2990,0.4480,0.5780,0.7805,1,2000,2000
independent,42,8,0,64,512,13555,39254,39772,2.8959,2.9341,2.3250,2.3250,-1.3196,14.3312,14.8180,-3.3965,9.1730,1.3510,0,0.0000,0.3340,0.5620,0.6375,0.7915,1,2000,2000
independent,42,8,1,64,512,13555,39254,39772,2.8959,2.9341,2.3250,2.3250,-1.3196,14.3312,14.8180,-3.3965,9.2770,1.3440,0,0.0000,0.3110,0.5125,0.6115,0.7855,1,2000,2000
